seed,branch,classification_inter_distance,classification_intra_distance,classification_margin,cosine_std,dimension,effective_rank,hubness_skew_k10,mean_cosine,neighborhood_preservation,participation_ratio,retrieval_margin,retrieval_negative_cosine,retrieval_positive_cosine,sample_size,sts_alignment,sts_mean_cosine,top10_eigenvalue_share,top_eigenvalue_share,uniformity
42,mix_s080_c000_r020,0.4948485791683197,0.4371095299720764,0.057739049196243286,0.0946367010474205,384.0,175.14657592773438,3.3474645154830025,0.495108425617218,0.41844,99.76662099206746,0.15514250099658966,0.6452100872993469,0.8003526329994202,10000.0,0.12485576421022415,0.8420313596725464,0.2373412847518921,0.03710439056158066,-1.9512513875961304
42,mix_s080_c020_r000,0.3154776990413666,0.2077285647392273,0.10774913430213928,0.06300564110279083,384.0,146.305419921875,4.747609250005925,0.6892873644828796,0.3176,58.568901736928815,0.06444618105888367,0.753332793712616,0.817779004573822,10000.0,0.08283934742212296,0.8867958188056946,0.296741247177124,0.08907833695411682,-1.212477445602417
42,mix_s100_c000_r000,0.35514959692955017,0.31458815932273865,0.04056143760681152,0.06743498891592026,384.0,176.18296813964844,4.631610360193598,0.6286984086036682,0.36983999999999995,102.73876252096515,0.09214533865451813,0.7404483556747437,0.8325936794281006,10000.0,0.0938994288444519,0.8731406331062317,0.2296592742204666,0.0377810113132,-1.450381875038147
42,mix_s033_c033_r033,0.3242788016796112,0.21109949052333832,0.11317931115627289,0.1000622883439064,384.0,151.92529296875,4.45487499689363,0.593104898929596,0.31566,62.90970918522587,0.16164357960224152,0.6355130076408386,0.7971566319465637,10000.0,0.11936651170253754,0.8537360429763794,0.2942308783531189,0.08253882080316544,-1.5534656047821045
43,m0,0.9634212255477905,0.8773184418678284,0.08610278367996216,0.0864267647266388,384.0,203.61087036132812,1.6685527377486646,0.042331937700510025,1.0,134.13811289384162,0.20274612307548523,0.5355883836746216,0.7383344769477844,10000.0,0.27814561128616333,0.6500272750854492,0.18197417259216309,0.03008764423429966,-3.7660415172576904
43,control,0.9678900837898254,0.9155855774879456,0.05230450630187988,0.07234141230583191,384.0,238.95664978027344,1.4055645212992083,0.0058204918168485165,0.46016,188.01507232911484,0.19988246262073517,0.46979209780693054,0.6696745753288269,10000.0,0.3219398856163025,0.6142219305038452,0.11824367940425873,0.016430385410785675,-3.9331111907958984
43,mix_s000_c000_r100,0.9643163084983826,0.8944680094718933,0.06984829902648926,0.08146791905164719,384.0,218.78439331054688,1.5900458638681627,0.034365855157375336,0.67504,153.21280177887985,0.26188552379608154,0.46134644746780396,0.7232320308685303,10000.0,0.31999415159225464,0.6254208087921143,0.1599823385477066,0.024429811164736748,-3.8058857917785645
43,mix_s000_c020_r080,0.6498511433601379,0.5664549469947815,0.08339619636535645,0.10048335045576096,384.0,209.9990692138672,2.997527416118563,0.19475790858268738,0.48627,134.05582552638785,0.24010370671749115,0.48971429467201233,0.7298180460929871,10000.0,0.2889156937599182,0.6640415787696838,0.18522748351097107,0.03398692607879639,-3.138345956802368
43,mix_s000_c040_r060,0.36263278126716614,0.23673133552074432,0.12590144574642181,0.14016826450824738,384.0,164.1704864501953,4.666348243942327,0.4421705901622772,0.31145,72.88414920699884,0.21838615834712982,0.5309886336326599,0.7493748068809509,10000.0,0.21465863287448883,0.7381686568260193,0.2752460837364197,0.07127349078655243,-2.0830423831939697
43,mix_s000_c060_r040,0.2903701066970825,0.14250388741493225,0.14786621928215027,0.13661128282546997,384.0,126.49343872070312,4.2097971005982755,0.5840499401092529,0.25338,43.51168913900453,0.18845833837985992,0.5811048150062561,0.7695631384849548,10000.0,0.16319207847118378,0.7900328040122986,0.3533511459827423,0.1062573492527008,-1.529693603515625
43,mix_s000_c080_r020,0.274384081363678,0.10631842911243439,0.1680656522512436,0.11540687829256058,384.0,95.78993225097656,3.747200850653525,0.6804068684577942,0.2129,27.315066593696965,0.14021985232830048,0.6502585411071777,0.7904783487319946,10000.0,0.12541185319423676,0.8320620059967041,0.42643579840660095,0.1462024599313736,-1.182665467262268
43,mix_s000_c100_r000,0.24114827811717987,0.06822337210178375,0.17292490601539612,0.08117754012346268,384.0,45.6357536315918,2.592605350855527,0.8144426345825195,0.13348,10.867359481426643,0.031499870121479034,0.7481428980827332,0.7796428203582764,10000.0,0.07853415608406067,0.8973978757858276,0.5865235924720764,0.25963863730430603,-0.6943861842155457
43,mix_s020_c000_r080,0.9387720823287964,0.8611076474189758,0.07766443490982056,0.0866275429725647,384.0,210.7067108154297,1.6458210934819293,0.05944475531578064,0.69052,141.74071964242793,0.2503332495689392,0.475683331489563,0.7260165810585022,10000.0,0.2788785696029663,0.6639028191566467,0.17389632761478424,0.027176788076758385,-3.698140859603882
43,mix_s020_c020_r060,0.5234530568122864,0.4280824065208435,0.09537065029144287,0.11252501606941223,384.0,190.8960418701172,3.9085160906216503,0.3234257698059082,0.42826000000000003,107.39482195548393,0.21829915046691895,0.535436749458313,0.7537359595298767,10000.0,0.20682813227176666,0.7552747130393982,0.22113335132598877,0.045747656375169754,-2.606428623199463
43,mix_s020_c040_r040,0.3357515335083008,0.20559313893318176,0.13015839457511902,0.11612361669540405,384.0,148.85072326660156,4.545934840834802,0.5562276840209961,0.30861,59.502024827673075,0.18131496012210846,0.6054115295410156,0.7867264747619629,10000.0,0.1340826451778412,0.8374307155609131,0.3032999038696289,0.08509211242198944,-1.6756014823913574
43,mix_s020_c060_r020,0.27982473373413086,0.1277899295091629,0.15203480422496796,0.0971590131521225,384.0,107.54730224609375,3.990873175659143,0.6942439079284668,0.24931999999999999,31.78116547515257,0.1287892609834671,0.6925046443939209,0.821293830871582,10000.0,0.08866193890571594,0.8892379999160767,0.39343076944351196,0.13532839715480804,-1.1541075706481934
43,mix_s020_c080_r000,0.25845518708229065,0.0853453129529953,0.17310987412929535,0.0693768560886383,384.0,60.90370178222656,2.8611280134375003,0.8139786124229431,0.17209000000000002,14.205475566591684,0.03376006707549095,0.7980183959007263,0.8317784667015076,10000.0,0.05766521766781807,0.9281230568885803,0.5240312814712524,0.2247253954410553,-0.7085375785827637
43,mix_s040_c000_r060,0.8413095474243164,0.7602426409721375,0.08106690645217896,0.09662461280822754,384.0,200.17462158203125,2.127245506465267,0.14406567811965942,0.6038399999999999,127.46312505205061,0.22847522795200348,0.5037561058998108,0.7322313189506531,10000.0,0.2299797385931015,0.7190999388694763,0.1933487206697464,0.030322439968585968,-3.345580577850342
43,mix_s040_c020_r040,0.4078698456287384,0.31594088673591614,0.09192895889282227,0.10454709082841873,384.0,172.78204345703125,4.36812478179829,0.4821268320083618,0.38838,88.35803695629451,0.1815110146999359,0.6075975894927979,0.7891086339950562,10000.0,0.1412273645401001,0.8274094462394714,0.25228428840637207,0.05558488145470619,-1.9887096881866455
43,mix_s040_c040_r020,0.289774626493454,0.1612144410610199,0.12856018543243408,0.08702342957258224,384.0,128.5595703125,4.21253122511776,0.6788983345031738,0.30216000000000004,44.88684526262367,0.1234770119190216,0.7143946290016174,0.8378716111183167,10000.0,0.08593276143074036,0.8898985981941223,0.34233373403549194,0.10582676529884338,-1.2283841371536255
43,mix_s040_c060_r000,0.2646947205066681,0.10758137702941895,0.15711334347724915,0.06560244411230087,384.0,89.76628875732422,3.6862724476230984,0.7863447070121765,0.21228999999999995,23.06873808002006,0.04095972701907158,0.8002833724021912,0.8412431478500366,10000.0,0.06151433289051056,0.9180744886398315,0.43342453241348267,0.16805805265903473,-0.8224548101425171
