model,seed,branch,step,fraction,sample_size,dimension,mean_cosine,cosine_std,uniformity,effective_rank,participation_ratio,top_eigenvalue_share,top10_eigenvalue_share,hubness_skew_k10,neighborhood_preservation
all_minilm,44,control,135,0.5,10000.0,384.0,0.00584910903126,0.0740911960601806,-3.930601119995117,233.03976440429688,177.51440817700646,0.0187404006719589,0.1311696171760559,1.4146117986952835,0.60161
all_minilm,44,control,270,1.0,10000.0,384.0,0.0042611891403794,0.0732727795839309,-3.938084125518799,235.6376037597656,181.4466161857146,0.0178875885903835,0.1273160278797149,1.4221470140572494,0.56445
all_minilm,44,retrieval,0,0.0,10000.0,384.0,0.0422806441783905,0.0861261412501335,-3.76702880859375,203.61087036132807,134.13811289384162,0.0300876442342996,0.181974172592163,1.6685527377486646,1.0
all_minilm,44,retrieval,68,0.25,10000.0,384.0,0.0381023809313774,0.0829473584890365,-3.788914203643799,213.38592529296875,146.25869198742737,0.0262577682733535,0.1677817702293396,1.5632707682353473,0.7793899999999999
all_minilm,44,retrieval,135,0.5,10000.0,384.0,0.0359324589371681,0.0819705799221992,-3.799100399017334,216.38381958007807,150.0976208609111,0.025290098041296,0.1634115278720855,1.5814121907565586,0.70398
all_minilm,44,retrieval,270,1.0,10000.0,384.0,0.034963846206665,0.0812385529279708,-3.8040413856506343,218.7919006347656,153.0953664373856,0.0245941951870918,0.1602546721696853,1.6086200871704188,0.6733600000000001
all_minilm,44,sts,0,0.0,10000.0,384.0,0.0422806441783905,0.0861261412501335,-3.76702880859375,203.61087036132807,134.13811289384162,0.0300876442342996,0.181974172592163,1.6685527377486646,1.0
all_minilm,44,sts,68,0.25,10000.0,384.0,0.2105625718832016,0.0976533889770507,-3.0787079334259038,184.12533569335935,108.69055245277406,0.0374277532100677,0.2206878513097763,2.1611750728570565,0.54703
all_minilm,44,sts,135,0.5,10000.0,384.0,0.6093827486038208,0.0761675089597702,-1.5184173583984375,169.5447998046875,94.73743614479676,0.0403204932808876,0.2450353652238845,4.456711856207787,0.35822
all_minilm,44,sts,270,1.0,10000.0,384.0,0.6297309994697571,0.0662191361188888,-1.4474163055419922,176.79791259765625,103.8436872723982,0.0370972380042076,0.227591797709465,4.7590155639829845,0.37377
raw_minilm,42,classification,0,0.0,10000.0,384.0,0.0232684668153524,0.1299644559621811,-3.762267827987671,101.5591812133789,58.16110725474498,0.0534304492175579,0.3137886524200439,0.9208225148854536,1.0
raw_minilm,42,classification,68,0.25,10000.0,384.0,0.8638197779655457,0.0694450810551643,-0.5095698237419128,22.237253189086918,6.523186858104328,0.3442742526531219,0.7091913223266602,1.9807056272546528,0.14467
raw_minilm,42,classification,135,0.5,10000.0,384.0,0.8577749729156494,0.0777905955910682,-0.5248640775680542,16.46070098876953,5.261612694388512,0.3852027058601379,0.7666170597076416,1.8385451122273064,0.1273
raw_minilm,42,classification,270,1.0,10000.0,384.0,0.8562639355659485,0.0880316346883773,-0.5201129913330078,13.820038795471191,4.656995150458588,0.4141339361667633,0.7951542139053345,1.7990854550434532,0.11022
raw_minilm,42,control,0,0.0,10000.0,384.0,0.0232684668153524,0.1299644559621811,-3.762267827987671,101.5591812133789,58.16110725474498,0.0534304492175579,0.3137886524200439,0.9208225148854536,1.0
raw_minilm,42,control,68,0.25,10000.0,384.0,0.0340828970074653,0.1258579641580581,-3.7294440269470215,110.2572250366211,64.18081745345759,0.0486018881201744,0.2959047257900238,1.1383306465036196,0.7041299999999999
raw_minilm,42,control,135,0.5,10000.0,384.0,0.018988037481904,0.1203958392143249,-3.801374673843384,116.89913940429688,69.04532779863874,0.0457439273595809,0.2808095514774322,1.103003227250806,0.6264700000000001
raw_minilm,42,control,270,1.0,10000.0,384.0,0.0115602379664778,0.1173752769827842,-3.8370518684387207,120.43962860107422,72.62237364283062,0.0427095890045166,0.2675024271011352,1.0428413145174018,0.60752
