branch,seed,AG News,sts,classification_transfer,clustering,retrieval,effective_rank,top10_eigenvalue_share,neighborhood_preservation,retrieval_margin
mix_s020_c000_r080,43,-0.0003947368421053,0.0013449330064941,0.0117518124999999,-0.030637,-0.0005424999999999,7.095840454101619,-0.00807784497737879,-0.30948,0.04758712649345401
mix_s020_c000_r080,44,0.0013157894736841,0.0006746794625642,0.0099613124999999,-0.028261,0.002255,3.9696502685547443,-0.0027088373899459006,-0.30373000000000006,0.04525668919086459
mix_s020_c020_r060,42,0.0073684210526315,-0.0245579081102952,0.0089644374999999,-0.0503939999999999,-0.0114524999999999,-7.21875,0.029504939913749695,-0.5878800000000002,0.011601462960243197
mix_s020_c020_r060,43,0.008157894736842,-0.0269346507130749,0.0057473124999999,-0.0482725,-0.0137499999999999,-12.71482849121088,0.039159178733825684,-0.57174,0.015553027391433688
mix_s020_c020_r060,44,0.0084210526315788,-0.0186074954848809,0.0075401874999999,-0.040473,-0.006375,-9.844985961913977,0.03293219208717349,-0.5501499999999999,0.016419127583503695
mix_s020_c040_r040,42,0.0109210526315789,-0.0659248804716933,-0.0095950625,-0.0494705,-0.030355,-53.88676452636713,0.11970221996307381,-0.69284,-0.02452842891216281
mix_s020_c040_r040,43,0.0126315789473683,-0.0667880633332567,-0.0098175625,-0.055226,-0.0358249999999999,-54.760147094726506,0.1213257312774659,-0.69139,-0.021431162953376798
mix_s020_c040_r040,44,0.0111842105263157,-0.0646843455368219,-0.0077633749999999,-0.051245,-0.0326474999999999,-52.64538574218744,0.11687165498733529,-0.68807,-0.019646883010864313
mix_s020_c060_r020,42,0.0168421052631578,-0.106282482866082,-0.0320114375,-0.0671394999999999,-0.0750399999999999,-96.91118621826166,0.21364194154739388,-0.76397,-0.07206600904464719
mix_s020_c060_r020,43,0.0172368421052631,-0.0936593072798278,-0.034757875,-0.06367,-0.07574,-96.0635681152343,0.2114565968513489,-0.7506800000000001,-0.0739568620920181
mix_s020_c060_r020,44,0.0160526315789473,-0.10359920181117,-0.03270225,-0.069191,-0.0745774999999999,-92.25162506103511,0.2032333612442017,-0.7489,-0.0646602064371109
mix_s020_c080_r000,42,0.0188157894736841,-0.1140788669444695,-0.070174125,-0.076021,-0.1966774999999999,-143.37382125854487,0.34462451934814464,-0.82858,-0.1708883419632912
mix_s020_c080_r000,43,0.0182894736842105,-0.1111803341543258,-0.067511125,-0.077572,-0.191305,-142.7071685791015,0.34205710887908947,-0.82791,-0.1689860559999943
mix_s020_c080_r000,44,0.0178947368421051,-0.1085417104267152,-0.0681815624999999,-0.0717915,-0.1852324999999999,-142.99275588989252,0.34318822622299205,-0.82649,-0.170745924115181
mix_s033_c033_r033,42,0.0101315789473683,-0.0568593355449781,-0.007153375,-0.051466,-0.0343899999999999,-51.68557739257807,0.1122567057609559,-0.68434,-0.04110254347324371
mix_s033_c033_r033,43,0.0099999999999998,-0.0563408292098984,-0.0080644375,-0.0524965,-0.0396499999999999,-56.82041931152338,0.1227462589740754,-0.6859999999999999,-0.0386383980512619
mix_s033_c033_r033,44,0.0103947368421052,-0.051977764746695,-0.0065705625,-0.051565,-0.0329649999999999,-49.31156921386713,0.1083327531814576,-0.67257,-0.03292086720466611
mix_s040_c000_r060,42,0.0042105263157894,-0.0011112147933226,0.0128138124999999,-0.025376,-0.0010499999999999,-1.6276702880858807,0.007826581597328186,-0.38871,0.028620645403862
mix_s040_c000_r060,43,0.0043421052631578,-0.0001218515517813,0.0127016249999999,-0.03172,-0.0018549999999999,-3.436248779296818,0.011374548077583396,-0.39616000000000007,0.025729104876518194
mix_s040_c000_r060,44,0.002236842105263,0.0007176954341528,0.0119434374999999,-0.0340935,0.0026499999999999,-2.791015625,0.010195553302764893,-0.38770000000000004,0.0286394655704498
